date,dev_pct,dev_z
1996-04-30,,
1996-05-31,,
1996-06-30,,
1996-07-31,,
1996-08-31,,
1996-09-30,,
1996-10-31,,
1996-11-30,,
1996-12-31,,
1997-01-31,,
1997-02-28,,
1997-03-31,,
1997-04-30,,
1997-05-31,,
1997-06-30,,
1997-07-31,,
1997-08-31,,
1997-09-30,,
1997-10-31,,
1997-11-30,,
1997-12-31,,
1998-01-31,,
1998-02-28,,
1998-03-31,,
1998-04-30,,
1998-05-31,,
1998-06-30,,
1998-07-31,,
1998-08-31,,
1998-09-30,,
1998-10-31,,
1998-11-30,,
1998-12-31,,
1999-01-31,,
1999-02-28,,
1999-03-31,,
1999-04-30,,
1999-05-31,,
1999-06-30,,
1999-07-31,,
1999-08-31,,
1999-09-30,,
1999-10-31,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,,
2000-03-31,,
2000-04-30,,
2000-05-31,,
2000-06-30,,
2000-07-31,,
2000-08-31,,
2000-09-30,,
2000-10-31,,
2000-11-30,,
2000-12-31,,
2001-01-31,,
2001-02-28,,
2001-03-31,-22.59927950637287,
2001-04-30,-19.08962331472307,
2001-05-31,-18.23571898049867,
2001-06-30,-16.70500891849761,
2001-07-31,-16.351203665797776,
2001-08-31,-11.497844945620972,
2001-09-30,-18.24424159055955,
2001-10-31,-17.61094898320549,
2001-11-30,-17.795382492990818,
2001-12-31,-18.291297034845066,
2002-01-31,-19.51368238215506,
2002-02-28,-17.146548835295572,
2002-03-31,-12.44317068678874,
2002-04-30,-10.41672619924986,
2002-05-31,-2.7187339450273407,
2002-06-30,-0.983007031111649,
2002-07-31,-7.123026004572386,
2002-08-31,-6.1358186862148445,
2002-09-30,-5.192476475669993,
2002-10-31,-2.4592690140424422,
2002-11-30,-0.18706678867635995,
2002-12-31,1.8233566613835128,
2003-01-31,4.044934580304971,
2003-02-28,7.259042599328813,
2003-03-31,6.338489198013764,
2003-04-30,7.560622451548138,
2003-05-31,9.720594611611233,
2003-06-30,11.302450107806262,
2003-07-31,10.025699713700199,
2003-08-31,9.287426202373993,
2003-09-30,13.056988751258224,
2003-10-31,15.943727379435657,
2003-11-30,20.282327726295236,
2003-12-31,19.704125964116216,
2004-01-31,21.499013343072004,
2004-02-29,23.182366371001528,
2004-03-31,19.056501687259875,
2004-04-30,10.71323676439324,
2004-05-31,11.17059902511257,
2004-06-30,11.545987987501505,
2004-07-31,11.216712468756661,
2004-08-31,13.375178368420858,
2004-09-30,16.936620917975077,
2004-10-31,16.825800038188454,
2004-11-30,20.81774199088098,
2004-12-31,18.21634129327585,
2005-01-31,17.21220993425505,
2005-02-28,18.654683264240756,
2005-03-31,14.697432725263804,
2005-04-30,17.41700695851087,
2005-05-31,13.61343007547604,
2005-06-30,11.765060942998362,
2005-07-31,8.642912950811388,
2005-08-31,10.609338864031015,
2005-09-30,9.096659287273878,
2005-10-31,10.066757865882735,
2005-11-30,11.071255218972542,
2005-12-31,8.935696588232611,
2006-01-31,9.549612170522636,
2006-02-28,4.77030722830456,0.061900620204243376
2006-03-31,-1.4909729150519024,-0.3998456689394773
2006-04-30,2.141407675606688,-0.12681578512251745
2006-05-31,0.49842857345068214,-0.24875467245392033
2006-06-30,-4.282956400504223,-0.6059434267949149
2006-07-31,-1.9089146756786857,-0.4206224298321333
2006-08-31,3.749604151014352,0.014686076682523676
2006-09-30,2.3700838339560715,-0.09160629585857201
2006-10-31,6.457020259347912,0.22599267889886263
2006-11-30,8.646897582488823,0.39501351642619664
2006-12-31,16.084793449513256,0.9702780523764629
2007-01-31,13.742666432436469,0.7758729152292917
2007-02-28,15.165226182304913,0.8779001522314143
2007-03-31,17.13919845601697,1.0203768858850568
2007-04-30,20.331054322555374,1.251861301543455
2007-05-31,18.029772017651947,1.054408836613212
2007-06-30,22.024062606237106,1.3448399279697234
2007-07-31,21.54245558313679,1.2841868883401244
2007-08-31,10.702792904352275,0.4317431299372118
2007-09-30,19.660109849863527,1.1207903880799122
2007-10-31,22.228086483012333,1.3001651632456324
2007-11-30,19.864386298049986,1.0998564340723684
2007-12-31,16.15143610627321,0.8015820322131759
2008-01-31,20.40222677433874,1.118961640906371
2008-02-29,21.808441013273637,1.2106923853065024
2008-03-31,18.80660547116122,0.965524784837809
2008-04-30,17.297032331386553,0.8393794234515661
2008-05-31,15.954812099798698,0.7280679989056901
2008-06-30,9.844628200909188,0.24798128254158233
2008-07-31,7.091528725139562,0.030992710370451017
2008-08-31,2.397502785542116,-0.33869414873275416
2008-09-30,-0.8223119391413292,-0.5905913587824332
2008-10-31,-11.50327306393043,-1.4199323694508403
2008-11-30,-14.846271672605948,-1.6511696529043682
2008-12-31,-7.523496744549907,-1.0629203875519377
2009-01-31,-15.510609229068805,-1.6568488075877492
2009-02-28,-15.650463449603503,-1.6353493719471912
2009-03-31,-6.31734994906048,-0.9068072095002837
2009-04-30,-5.717220506400478,-0.8528698206588706
2009-05-31,6.9559845730163605,0.1262528877320694
2009-06-30,6.8288245687554205,0.11578704339902293
2009-07-31,8.535637956875398,0.24777403787106703
2009-08-31,11.103817862717102,0.44664286239060813
2009-09-30,17.088910167453154,0.9099314349659213
2009-10-31,16.553136917868173,0.8604124485920852
2009-11-30,14.352482170655833,0.6819140122671665
2009-12-31,15.701201779227825,0.7826404533944519
2010-01-31,12.111361489361073,0.4951386013449762
2010-02-28,11.638181561563243,0.45494162076610534
2010-03-31,13.903390416982653,0.6317693581362106
2010-04-30,15.915703575327388,0.7870796998030544
2010-05-31,8.067471987699527,0.1567407195256486
