date,dev_pct,dev_z
2001-01-31,,
2001-02-28,,
2001-03-31,,
2001-04-30,,
2001-05-31,,
2001-06-30,,
2001-07-31,,
2001-08-31,,
2001-09-30,,
2001-10-31,,
2001-11-30,,
2001-12-31,,
2002-01-31,,
2002-02-28,,
2002-03-31,,
2002-04-30,,
2002-05-31,,
2002-06-30,,
2002-07-31,,
2002-08-31,,
2002-09-30,,
2002-10-31,,
2002-11-30,,
2002-12-31,,
2003-01-31,,
2003-02-28,,
2003-03-31,,
2003-04-30,,
2003-05-31,,
2003-06-30,,
2003-07-31,,
2003-08-31,,
2003-09-30,,
2003-10-31,,
2003-11-30,,
2003-12-31,,
2004-01-31,,
2004-02-29,,
2004-03-31,,
2004-04-30,,
2004-05-31,,
2004-06-30,,
2004-07-31,,
2004-08-31,,
2004-09-30,,
2004-10-31,,
2004-11-30,,
2004-12-31,,
2005-01-31,,
2005-02-28,,
2005-03-31,,
2005-04-30,,
2005-05-31,,
2005-06-30,,
2005-07-31,,
2005-08-31,,
2005-09-30,,
2005-10-31,,
2005-11-30,,
2005-12-31,6.004241303487823,
2006-01-31,7.676223112339242,
2006-02-28,5.303049292009376,
2006-03-31,1.6056417595018857,
2006-04-30,6.151264738502182,
2006-05-31,4.778650053059064,
2006-06-30,-0.5715904552396456,
2006-07-31,2.7490080960171026,
2006-08-31,3.413033264007792,
2006-09-30,-2.5933854129422396,
2006-10-31,1.072057003505389,
2006-11-30,6.895796326892301,
2006-12-31,-3.0262345812130276,
2007-01-31,-6.02016657907003,
2007-02-28,-3.3397737189548193,
2007-03-31,6.52528377977013,
2007-04-30,10.261282294753048,
2007-05-31,6.518643850355166,
2007-06-30,-2.2335661359986547,
2007-07-31,-1.4001725752045502,
2007-08-31,-2.565746742532349,
2007-09-30,5.492464539833475,
2007-10-31,10.687836117155602,
2007-11-30,11.762847699739275,
2007-12-31,-2.8778370355699967,
2008-01-31,-1.5914804188307485,
2008-02-29,3.1928852201662528,
2008-03-31,7.63002540186164,
2008-04-30,6.143463480802036,
2008-05-31,5.796839298576972,
2008-06-30,5.2485658656792555,
2008-07-31,5.585067505237373,
2008-08-31,-2.540724390492377,
2008-09-30,-6.298260773463127,
2008-10-31,-15.87138898316386,
2008-11-30,-16.387734854977342,
2008-12-31,-17.8012665885269,
2009-01-31,-25.646427848173346,
2009-02-28,-26.202329284993642,
2009-03-31,-23.712631015288586,
2009-04-30,-19.67490983603496,
2009-05-31,-14.798579197491513,
2009-06-30,-15.878668729065682,
2009-07-31,-9.617404938261265,
2009-08-31,-7.865015726548674,
2009-09-30,-8.187399599220957,
2009-10-31,-8.780542999492303,
2009-11-30,-5.976406821492242,
2009-12-31,-10.195852826352958,
2010-01-31,-12.387543943865376,
2010-02-28,-10.561311212939838,
2010-03-31,-10.04761335282376,
2010-04-30,-13.471526157674486,
2010-05-31,-21.57576810603581,
2010-06-30,-23.21258623164337,
2010-07-31,-15.098223171013492,
2010-08-31,-17.42878940111632,
2010-09-30,-10.283001409974002,
2010-10-31,-9.234478988955196,
2010-11-30,-15.757437886508342,-1.0636429882208558
2010-12-31,-12.618394073538397,-0.7481950184677352
2011-01-31,-10.569460155506437,-0.5422066445481051
2011-02-28,-9.883503484534762,-0.4701849306415899
2011-03-31,-10.496790646562493,-0.5255957384525559
2011-04-30,-6.259518707672274,-0.10310788268862356
2011-05-31,-10.86559749869508,-0.5594814874328489
2011-06-30,-12.586012908291199,-0.7246011928973726
2011-07-31,-14.024288766259795,-0.8589766511040344
2011-08-31,-17.54474336751851,-1.1942678298915395
2011-09-30,-26.59597787800526,-2.029558207224772
2011-10-31,-22.550765614724668,-1.5892162938924626
2011-11-30,-28.101559373838537,-2.051386170786585
2011-12-31,-33.189049424388195,-2.41319547010938
2012-01-31,-27.149967112393302,-1.8037138460580553
2012-02-29,-23.525414165921077,-1.4451799861041517
2012-03-31,-24.681869125283452,-1.5147951529089105
2012-04-30,-24.48360392772093,-1.4660775655663438
2012-05-31,-32.05116946189855,-2.059978395493948
2012-06-30,-26.862123186928788,-1.5761801903929988
2012-07-31,-25.692379566781497,-1.4473008190853407
2012-08-31,-24.023761924397714,-1.2842082370722174
2012-09-30,-21.110750814316436,-1.0251736508034892
2012-10-31,-21.270896515210993,-1.0257639988879113
2012-11-30,-19.578497522490967,-0.8736768115922475
2012-12-31,-18.365835427726118,-0.7640283904261145
2013-01-31,-18.34540148284214,-0.755327463674912
2013-02-28,-20.35286059234326,-0.9159462299063145
2013-03-31,-22.76015770316767,-1.106256283098165
2013-04-30,-20.483594547813755,-0.9037011699960656
2013-05-31,-22.55037865217915,-1.0663709567074773
2013-06-30,-21.361269986941945,-0.9552490691553582
2013-07-31,-19.759308270549003,-0.8118172336065709
2013-08-31,-20.704095765375797,-0.883618912371209
2013-09-30,-19.202379395243895,-0.7494339739048873
2013-10-31,-17.734540275134293,-0.6195848807232078
2013-11-30,-17.35271847198088,-0.5827940471253393
2013-12-31,-14.992627007251546,-0.37772139933688703
2014-01-31,-18.639586183652355,-0.6873761534879052
2014-02-28,-14.308983573432265,-0.3107585988444083
2014-03-31,-13.383163397579523,-0.22903541260681087
2014-04-30,-12.629430422722743,-0.16234330511078046
2014-05-31,-12.618825147664325,-0.160605937066974
2014-06-30,-15.854931953719175,-0.4435947497729832
2014-07-31,-19.365241114289866,-0.7489209356727242
2014-08-31,-21.545074579699662,-0.9340171207591546
2014-09-30,-23.64970974042555,-1.1091135933699596
2014-10-31,-24.92461851848258,-1.2080829365523076
