date,dev_pct,dev_z
1996-04-30,,
1996-05-31,,
1996-06-30,,
1996-07-31,,
1996-08-31,,
1996-09-30,,
1996-10-31,,
1996-11-30,,
1996-12-31,,
1997-01-31,,
1997-02-28,,
1997-03-31,,
1997-04-30,,
1997-05-31,,
1997-06-30,,
1997-07-31,,
1997-08-31,,
1997-09-30,,
1997-10-31,,
1997-11-30,,
1997-12-31,,
1998-01-31,,
1998-02-28,,
1998-03-31,,
1998-04-30,,
1998-05-31,,
1998-06-30,,
1998-07-31,,
1998-08-31,,
1998-09-30,,
1998-10-31,,
1998-11-30,,
1998-12-31,,
1999-01-31,,
1999-02-28,,
1999-03-31,,
1999-04-30,,
1999-05-31,,
1999-06-30,,
1999-07-31,,
1999-08-31,,
1999-09-30,,
1999-10-31,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,,
2000-03-31,,
2000-04-30,,
2000-05-31,,
2000-06-30,,
2000-07-31,,
2000-08-31,,
2000-09-30,,
2000-10-31,,
2000-11-30,,
2000-12-31,,
2001-01-31,,
2001-02-28,,
2001-03-31,13.246554202084294,
2001-04-30,16.995821831257274,
2001-05-31,21.219913849472903,
2001-06-30,16.600420152096042,
2001-07-31,18.4941904096847,
2001-08-31,24.059772245084666,
2001-09-30,22.543788398704944,
2001-10-31,22.00739579823132,
2001-11-30,18.62753670049626,
2001-12-31,11.93333865935311,
2002-01-31,8.741029675357726,
2002-02-28,11.107609722897616,
2002-03-31,12.709561599414055,
2002-04-30,16.969825071371282,
2002-05-31,20.797780358255125,
2002-06-30,24.324010541421192,
2002-07-31,23.652210812652473,
2002-08-31,25.234414654445914,
2002-09-30,20.28358203847862,
2002-10-31,18.01929086119076,
2002-11-30,17.378888012223804,
2002-12-31,20.405231903658905,
2003-01-31,17.791273025055474,
2003-02-28,19.985962825213612,
2003-03-31,20.315231662947998,
2003-04-30,18.91993552095894,
2003-05-31,16.735775317172475,
2003-06-30,14.759521704886879,
2003-07-31,14.046411512668477,
2003-08-31,17.207542857521354,
2003-09-30,22.11664623041285,
2003-10-31,23.065962760721415,
2003-11-30,22.454079096449764,
2003-12-31,26.762255989823515,
2004-01-31,27.724553987914824,
2004-02-29,23.30583885217834,
2004-03-31,28.213822439697633,
2004-04-30,20.893175857746193,
2004-05-31,21.51078493538272,
2004-06-30,21.681307908127344,
2004-07-31,17.772213891028276,
2004-08-31,19.176960604406148,
2004-09-30,17.032668016398066,
2004-10-31,21.57448550889358,
2004-11-30,24.640236215526222,
2004-12-31,27.224760962470906,
2005-01-31,24.45772456699642,
2005-02-28,22.147736565981457,
2005-03-31,18.68897157102738,
2005-04-30,21.36888828949799,
2005-05-31,15.506899018737364,
2005-06-30,12.866495205507356,
2005-07-31,11.105860952948742,
2005-08-31,13.02780105968706,
2005-09-30,11.00442703531941,
2005-10-31,7.8469241861991,
2005-11-30,3.600380156602756,
2005-12-31,6.773662823697135,
2006-01-31,7.600876463579986,
2006-02-28,8.282852947189623,-1.7569074555646729
2006-03-31,4.94681711724787,-2.2265620866402536
2006-04-30,8.485855292044576,-1.5773330368897194
2006-05-31,9.176034335077276,-1.4255273871825405
2006-06-30,6.584543969455869,-1.7944539081044846
2006-07-31,6.063203986902477,-1.8159507414015217
2006-08-31,3.4634370661515312,-2.1359118060050237
2006-09-30,2.468932653276168,-2.188609151016231
2006-10-31,3.0967920186974807,-2.013658993854447
2006-11-30,4.567677556788663,-1.7429111255555376
2006-12-31,1.7333242776695013,-2.0707169029448096
2007-01-31,-0.328885695750325,-2.2579068220420875
2007-02-28,1.0070721840510721,-2.000559931401008
2007-03-31,1.3932508543628153,-1.8864082190889124
2007-04-30,-0.5966694651739712,-2.0696987260388666
2007-05-31,-2.799620233850575,-2.25467733223864
2007-06-30,-3.652272091522557,-2.2631810635321172
2007-07-31,0.06316762518283614,-1.7630590561641606
2007-08-31,2.4043043305237877,-1.4530998897751812
2007-09-30,2.4728025906382234,-1.4170703311888058
2007-10-31,2.960556659436686,-1.3356239640278038
2007-11-30,8.487026589593793,-0.6813658478702549
2007-12-31,5.164930209052909,-1.0582633216928146
2008-01-31,11.278780957902846,-0.33728007260246995
2008-02-29,12.902194215827123,-0.14452261868700186
2008-03-31,18.51072156497682,0.5184434348666562
2008-04-30,11.21695534862246,-0.35029056481474197
2008-05-31,9.46773052858807,-0.5560636268030281
2008-06-30,10.29744145059055,-0.4529526025986833
2008-07-31,11.088908360139937,-0.35487620678888554
2008-08-31,4.913921227060758,-1.0926976263828543
2008-09-30,6.6703030324288815,-0.8707022133733358
2008-10-31,11.737750053306018,-0.2525313071736363
2008-11-30,11.908285682134402,-0.23036690941919513
2008-12-31,12.661558636277759,-0.13699914964396542
2009-01-31,13.876045097908829,0.013067130908842688
2009-02-28,3.244559350699716,-1.2899151184164297
2009-03-31,0.14058205302356352,-1.6419205886101074
2009-04-30,1.3740495127155805,-1.466325186690406
2009-05-31,4.981690401230643,-1.01577963767129
2009-06-30,3.5415803051075168,-1.1770448766467936
2009-07-31,3.820205187985981,-1.130165477861611
2009-08-31,5.409762749107072,-0.9284517683731294
2009-09-30,9.65791137123233,-0.4096522968812746
2009-10-31,9.585619471417672,-0.4161265540430486
2009-11-30,14.122755316583424,0.1393054163887661
2009-12-31,2.3896518565738933,-1.2890864132618467
2010-01-31,5.760143049869515,-0.8681716361995653
2010-02-28,6.4336072197738625,-0.7795566291973136
2010-03-31,1.8352157849115702,-1.3284504661078782
2010-04-30,1.150314704708566,-1.3933906208883466
2010-05-31,4.082179009596909,-1.0257468083807229
