date,dev_pct,dev_z
2001-01-31,,
2001-02-28,,
2001-03-31,,
2001-04-30,,
2001-05-31,,
2001-06-30,,
2001-07-31,,
2001-08-31,,
2001-09-30,,
2001-10-31,,
2001-11-30,,
2001-12-31,,
2002-01-31,,
2002-02-28,,
2002-03-31,,
2002-04-30,,
2002-05-31,,
2002-06-30,,
2002-07-31,,
2002-08-31,,
2002-09-30,,
2002-10-31,,
2002-11-30,,
2002-12-31,,
2003-01-31,,
2003-02-28,,
2003-03-31,,
2003-04-30,,
2003-05-31,,
2003-06-30,,
2003-07-31,,
2003-08-31,,
2003-09-30,,
2003-10-31,,
2003-11-30,,
2003-12-31,,
2004-01-31,,
2004-02-29,,
2004-03-31,,
2004-04-30,,
2004-05-31,,
2004-06-30,,
2004-07-31,,
2004-08-31,,
2004-09-30,,
2004-10-31,,
2004-11-30,,
2004-12-31,,
2005-01-31,,
2005-02-28,,
2005-03-31,,
2005-04-30,,
2005-05-31,,
2005-06-30,,
2005-07-31,,
2005-08-31,,
2005-09-30,,
2005-10-31,,
2005-11-30,,
2005-12-31,-0.3430852636786663,
2006-01-31,4.016695519112767,
2006-02-28,1.598855268302346,
2006-03-31,-1.2136311331116256,
2006-04-30,2.528074812636305,
2006-05-31,4.31271765276231,
2006-06-30,1.6923499622308436,
2006-07-31,1.5506319851066763,
2006-08-31,2.849058454122333,
2006-09-30,-4.373852763970176,
2006-10-31,-2.285932566440707,
2006-11-30,2.420480535527414,
2006-12-31,-0.2719290359156967,
2007-01-31,-2.623985585386146,
2007-02-28,-0.6726352839459881,
2007-03-31,-1.4856657857998057,
2007-04-30,-0.1374549117004742,
2007-05-31,-1.5760574579329667,
2007-06-30,-4.54509910340991,
2007-07-31,-0.9173108053541101,
2007-08-31,-0.0009453781989243737,
2007-09-30,7.230563843410498,
2007-10-31,10.267191657658149,
2007-11-30,13.329126190485386,
2007-12-31,1.3857898122419332,
2008-01-31,5.255119341282777,
2008-02-29,12.431804152857584,
2008-03-31,13.06023896168973,
2008-04-30,9.77472346399293,
2008-05-31,7.855968187870266,
2008-06-30,12.565077786294987,
2008-07-31,8.948388565021581,
2008-08-31,-0.13505327747473928,
2008-09-30,-0.4623330962629346,
2008-10-31,-6.613999387142611,
2008-11-30,-6.234343592102642,
2008-12-31,-1.2254821753490464,
2009-01-31,-9.14451591739609,
2009-02-28,-7.138032389305593,
2009-03-31,3.6119639294773798,
2009-04-30,4.937776588356391,
2009-05-31,10.484964972972177,
2009-06-30,20.630171253409312,
2009-07-31,21.199313859862578,
2009-08-31,22.053415837576562,
2009-09-30,24.417596585097947,
2009-10-31,18.79469200132249,
2009-11-30,20.96894738457027,
2009-12-31,11.25565198634293,
2010-01-31,8.63154550879024,
2010-02-28,9.172617403491623,
2010-03-31,13.845946013711607,
2010-04-30,9.536041546340247,
2010-05-31,2.281223022516765,
2010-06-30,2.332591694993491,
2010-07-31,12.687293271231791,
2010-08-31,9.78747541085616,
2010-09-30,19.230711367624398,
2010-10-31,20.088917073567902,
2010-11-30,11.017909454051722,0.6301497373968181
2010-12-31,13.648062953237039,0.9337825357184235
2011-01-31,20.137935778013283,1.6662688801394179
2011-02-28,20.21080216244617,1.6254515708668649
2011-03-31,21.98156693762432,1.7728631631421476
2011-04-30,25.750901572921858,2.112484688635206
2011-05-31,17.789059912014025,1.1961739102957076
2011-06-30,18.55811665098459,1.2571592946137524
2011-07-31,18.120240713373104,1.1867664760316197
2011-08-31,18.019531182609793,1.155483514410866
2011-09-30,11.255938699947787,0.4036777284244558
2011-10-31,13.210981338452132,0.6153196024925459
2011-11-30,5.3161751643799215,-0.2655921054128319
2011-12-31,-2.2198634042446375,-1.0969622817283506
2012-01-31,0.551441709026701,-0.776950614627849
2012-02-29,5.356478019908639,-0.2337911067734051
2012-03-31,5.078099808941117,-0.26351425128677425
2012-04-30,4.085864270786388,-0.3739919270369392
2012-05-31,-5.172532948510633,-1.408848248100075
2012-06-30,1.2403543619645019,-0.6714259216194426
2012-07-31,0.5076788576378499,-0.7478895636353124
2012-08-31,5.494995381093881,-0.17453820361733896
2012-09-30,6.675554360093994,-0.0380213358673262
2012-10-31,8.179391423699478,0.13583276238360306
2012-11-30,8.636935725228279,0.18814481364206284
2012-12-31,11.967624937092491,0.5751265636123144
2013-01-31,11.356183252814489,0.49932565835716
2013-02-28,7.429604779707866,0.03367389537964672
2013-03-31,5.180869683872458,-0.23305981840986573
2013-04-30,7.116527216779023,-0.0009915300112992456
2013-05-31,6.968329910610982,-0.018756547985553467
2013-06-30,8.089694625341902,0.1165706667731608
2013-07-31,7.221383672954951,0.010641325877911782
2013-08-31,6.012118461503468,-0.13687120117396256
2013-09-30,7.9157090519616835,0.09724995898155862
2013-10-31,8.052148199682208,0.11355425376907474
2013-11-30,2.784448080971691,-0.5390589038374555
2013-12-31,5.012411571071329,-0.25903389404418964
2014-01-31,2.1763501052711742,-0.6111049967359636
2014-02-28,6.37348789975114,-0.08157275845537726
2014-03-31,4.573646664369724,-0.30794583381190704
2014-04-30,5.501074541624695,-0.1889232434772134
2014-05-31,4.134955034158017,-0.36165994903125415
2014-06-30,2.0434494294608863,-0.6260909367195573
2014-07-31,-2.7974530060006275,-1.2345459474733949
2014-08-31,-4.886387179633356,-1.4798990566985895
2014-09-30,-7.04730124047992,-1.7226219859338723
2014-10-31,-8.930618180913786,-1.9173311141793428
2014-11-30,-6.626240128286742,-1.602317699510595
2014-12-31,-6.281735317510517,-1.5353228307245204
2015-01-31,-12.557975791642518,-2.2435380882456095
2015-02-28,-11.342335453487252,-2.046823739583372
2015-03-31,-16.2256121570269,-2.5384242125882808
2015-04-30,-11.96356508446479,-1.9982350596726792
2015-05-31,-15.262313427726127,-2.308246604483263
2015-06-30,-15.810920488658509,-2.3034639518135585
2015-07-31,-16.88242901197904,-2.3516951847689587
2015-08-31,-13.897650863984811,-1.9865981900032055
2015-09-30,-16.674812642904623,-2.2232814024167364
2015-10-31,-16.44613140487621,-2.146649435016057
2015-11-30,-19.240846907997433,-2.365750636556589
2015-12-31,-17.18362264202674,-2.1090125273010716
2016-01-31,-17.056898843798628,-2.0509731959269177
2016-02-29,-16.04173046776819,-1.9140147588323355
2016-03-31,-12.142791262203477,-1.515788219360915
2016-04-30,-12.700135464335071,-1.5479323790305066
2016-05-31,-14.102331478743025,-1.6569271804584735
2016-06-30,-16.539120011324314,-1.8551500052453442
2016-07-31,-15.014256145836013,-1.6856262532964832
